"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12598","Login","chromium","2026-03-17","passed","2026-03-17","Grouping multiple tests user2","excel/excelData.spec.ts","",""
"","0","@browserTest @sanity Browser name test","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user1","excel/excelData.spec.ts","",""
"","54042","Intentional failure test","chromium","2026-03-17","passed","2026-03-17","Grouping multiple tests user2","csv/csvData.spec.ts","",""
"","12331","Login","chromium","2026-03-17","passed","2026-03-17","Grouping multiple tests user1","excel/excelData.spec.ts","",""
"","0","Fixme test example","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user1","json_data/jsonData.spec.ts","",""
"","53777","Intentional failure test","chromium","2026-03-17","passed","2026-03-17","Grouping multiple tests user1","excel/excelData.spec.ts","",""
"","54157","Intentional failure test","chromium","2026-03-17","passed","2026-03-17","Grouping multiple tests user1","json_data/jsonData.spec.ts","",""
"","0","@browserTest @sanity Browser name test","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user1","twoDArrTest.spec.ts","",""
"","1","@browserTest @sanity Browser name test","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user1","csv/csvData.spec.ts","",""
"","1","Fixme test example","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user1","excel/excelData.spec.ts","",""
"","55064","Intentional failure test","chromium","2026-03-17","passed","2026-03-17","Grouping multiple tests user1","csv/csvData.spec.ts","",""
"","0","@browserTest @sanity Browser name test","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user2","excel/excelData.spec.ts","",""
"","15482","Login","chromium","2026-03-17","passed","2026-03-17","Grouping multiple tests user2","csv/csvData.spec.ts","",""
"","53391","Intentional failure test","chromium","2026-03-17","passed","2026-03-17","Grouping multiple tests user2","excel/excelData.spec.ts","",""
"","0","@browserTest @sanity Browser name test","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user2","twoDArrTest.spec.ts","",""
"","0","Fixme test example","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user2","json_data/jsonData.spec.ts","",""
"","15324","Login","chromium","2026-03-17","passed","2026-03-17","Grouping multiple tests user1","csv/csvData.spec.ts","",""
"","0","Fixme test example","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user2","twoDArrTest.spec.ts","",""
"","2","@browserTest @sanity Browser name test","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user2","json_data/jsonData.spec.ts","",""
"","12927","Login","chromium","2026-03-17","passed","2026-03-17","Grouping multiple tests user2","twoDArrTest.spec.ts","",""
"","12202","Login","chromium","2026-03-17","passed","2026-03-17","Grouping multiple tests user2","json_data/jsonData.spec.ts","",""
"","12477","Login","chromium","2026-03-17","passed","2026-03-17","Grouping multiple tests user1","json_data/jsonData.spec.ts","",""
"","53519","Intentional failure test","chromium","2026-03-17","passed","2026-03-17","Grouping multiple tests user2","json_data/jsonData.spec.ts","",""
"","12340","Login","chromium","2026-03-17","passed","2026-03-17","Grouping multiple tests user1","twoDArrTest.spec.ts","",""
"","0","Fixme test example","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user2","csv/csvData.spec.ts","",""
"","0","Fixme test example","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user2","excel/excelData.spec.ts","",""
"","1","@browserTest @sanity Browser name test","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user2","csv/csvData.spec.ts","",""
"","0","Fixme test example","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user1","csv/csvData.spec.ts","",""
"","0","Fixme test example","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user1","twoDArrTest.spec.ts","",""
"","0","@browserTest @sanity Browser name test","chromium","2026-03-17","skipped","2026-03-17","Grouping multiple tests user1","json_data/jsonData.spec.ts","",""
